work_package_id,wave,title,primary_role,branch,dependencies,risk,required_reviews,owned_modules,acceptance_criteria,state
WP-PLT-001,0.1,저장소·모듈 경계 부트스트랩,Platform Backend Agent,feature/WP-PLT-001-repository-bootstrap,,high,"architecture, qa_security",core,모든 모듈이 표준 구조를 사용한다 | CI에서 금지된 cross-module import를 탐지한다 | 개발 환경이 문서대로 재현된다,ready
WP-OPS-001,0.2,Docker Compose 개발·스테이징 기반,DevOps Agent,feature/WP-OPS-001-compose-foundation,WP-PLT-001,high,"architecture, qa_security",operations,PostgreSQL/Redis/MinIO와 앱이 health 상태로 기동한다 | 데이터 서비스 포트가 불필요하게 외부 노출되지 않는다 | 이미지 버전이 고정된다,proposed
WP-PLT-002,0.3,인증·세션·MFA 기반,Platform Backend Agent + Frontend Agent,feature/WP-PLT-002-auth-session-mfa,"WP-PLT-001, WP-OPS-001",critical,"architecture, qa_security",iam,로그인/로그아웃/세션 철회가 동작한다 | 잠금·속도 제한이 적용된다 | 비활성 사용자 세션이 즉시 철회된다,proposed
WP-PLT-003,0.4,회사·부서·직원·사용자 관리,Platform Backend Agent + Frontend Agent,feature/WP-PLT-003-organization-users,WP-PLT-002,high,"architecture, qa_security","iam, hr-core",부서 계층과 직원 소속을 관리한다 | 사용자와 직원 연결/분리가 가능하다 | 퇴사 이력을 삭제하지 않는다,proposed
WP-UI-001,0.4,디자인 시스템·전역 레이아웃,Frontend/UX Agent,feature/WP-UI-001-design-system-shell,"WP-PLT-001, WP-PLT-002",medium,"domain_owner, qa",frontend-core,loading/empty/error/forbidden/stale 패턴이 제공된다 | 키보드와 반응형 기본 검증을 통과한다 | 권한 기반 메뉴가 동작한다,proposed
WP-PLT-004,0.5,RBAC·범위 권한 엔진,Platform Backend Agent + QA·Security Agent,feature/WP-PLT-004-rbac-scope-engine,"WP-PLT-002, WP-PLT-003",critical,"architecture, qa_security",iam,object-level 권한이 API마다 적용된다 | 외부 사용자는 초대 프로젝트만 접근한다 | 권한 변경이 감사된다,proposed
WP-PLT-005,0.6,감사 로그·활동 로그·Outbox,Platform Backend Agent,feature/WP-PLT-005-audit-outbox,WP-PLT-004,critical,"architecture, qa_security","core, collab",중요 command가 actor/before/after/trace를 남긴다 | outbox 중복 소비가 방지된다 | 일반 앱 권한으로 감사 로그를 수정하지 못한다,proposed
WP-PLT-006,0.7,파일 업로드·검사·MinIO 기반,DMS Agent + QA·Security Agent,feature/WP-PLT-006-secure-file-storage,"WP-OPS-001, WP-PLT-004, WP-PLT-005",critical,"architecture, qa_security",dms-core,업로드→검사→READY 상태가 동작한다 | 권한 없는 다운로드가 차단된다 | 체크섬과 파일 크기가 검증된다,proposed
WP-PLT-007,0.7,댓글·멘션·알림 기반,Platform Backend Agent + Frontend Agent,feature/WP-PLT-007-collaboration-notifications,"WP-PLT-004, WP-PLT-005",high,"architecture, qa_security",collab,댓글/답글/멘션이 권한 범위를 따른다 | 알림 중복 억제와 읽음 상태가 동작한다 | 이메일 실패가 인앱 알림을 막지 않는다,proposed
WP-OPS-002,0.8,관측성·백업 최소구성,DevOps Agent + QA·Security Agent,feature/WP-OPS-002-observability-backup,"WP-OPS-001, WP-PLT-005, WP-PLT-006",critical,"architecture, qa_security",operations,핵심 서비스 상태가 보인다 | 백업 실패 경보가 발생한다 | 샘플 복원과 파일 체크섬 검증이 완료된다,proposed
WP-QA-000,0.9,Phase 0 보안·복구 게이트,QA·Security Agent,test/WP-QA-000-foundation-gate,"WP-PLT-002, WP-PLT-003, WP-PLT-004, WP-PLT-005, WP-PLT-006, WP-PLT-007, WP-UI-001, WP-OPS-002",critical,"architecture, qa_security",qa,IDOR/세션/악성 업로드 테스트를 통과한다 | 신규 환경 복원이 가능하다 | Critical/High 결함이 없다,proposed
